Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
1,Jannik Sinner,25,92.0,69.9,68.9,9.1,2.7,6.8,60.5,78.5,56.5,60.7,89.7,6.0,42.2,42.9,6.8,3.8,33.2,58.2,6.6,29.0,46.5,46.4,265,0.66,3.0,10.6,1.41,4.9,70.4,0.35,1.6,5.7,0.48,1.7,55.4,83.3,83.9
2,Alexander Zverev,22,81.8,69.7,67.8,11.8,2.8,10.2,72.3,76.8,51.1,57.0,87.8,6.0,38.5,39.1,5.4,2.4,31.7,50.0,6.6,37.5,55.8,39.1,266,0.63,3.1,12.1,1.2,4.7,66.7,0.37,1.8,7.1,0.6,2.4,53.3,65.0,70.1
3,Carlos Alcaraz,21,90.5,66.8,66.7,6.2,2.8,8.3,65.5,71.9,57.2,62.4,83.2,6.1,42.5,42.2,3.9,3.4,36.1,54.2,6.6,29.0,66.3,44.3,262,0.75,3.4,12.5,1.53,5.5,57.6,0.39,1.8,6.6,0.78,2.8,54.2,81.8,76.3
4,Taylor Fritz,21,81.0,69.3,66.9,12.3,2.4,6.3,61.7,77.7,55.9,59.7,87.6,5.9,37.9,37.9,6.9,4.2,28.3,53.4,6.4,44.0,46.8,41.7,218,0.57,2.7,10.4,1.11,4.3,66.0,0.37,1.8,6.9,0.6,2.3,53.2,54.5,67.1
5,Jack Draper,11,63.6,63.8,63.3,9.7,4.8,10.7,54.7,75.0,50.3,56.3,81.2,6.3,40.2,40.9,7.8,4.3,31.6,52.7,6.2,42.0,66.5,50.0,116,0.63,2.9,10.5,1.45,5.3,62.4,0.5,2.3,8.5,0.88,3.2,52.3,25.0,60.0
6,Novak Djokovic,19,84.2,68.3,67.6,9.3,3.5,9.7,63.9,75.8,54.9,60.9,87.0,6.2,40.3,41.5,7.3,3.1,33.0,52.7,6.5,30.0,63.8,39.7,214,0.68,3.1,11.3,1.25,4.5,63.5,0.36,1.7,6.1,0.62,2.2,54.0,70.0,73.5
7,Casper Ruud,14,71.4,66.7,65.9,9.4,3.6,10.5,65.9,74.1,52.5,58.7,82.9,6.3,38.7,40.1,9.6,4.0,29.9,52.7,6.6,45.0,63.1,34.9,172,0.67,3.1,12.3,1.09,4.3,66.7,0.51,2.4,9.4,0.8,3.1,52.3,80.0,61.8
8,Alex De Minaur,17,82.4,64.4,64.9,6.1,4.1,8.7,52.5,71.3,56.7,62.1,81.5,6.3,44.7,44.3,4.8,4.6,37.1,55.0,6.9,46.0,75.9,43.8,226,0.82,3.8,13.3,1.68,5.8,64.0,0.51,2.4,8.2,0.85,2.9,54.0,66.7,72.9
9,Lorenzo Musetti,14,71.4,65.0,64.6,5.0,2.1,5.9,63.6,71.0,54.3,57.8,80.5,6.3,38.1,38.5,6.4,3.3,30.0,51.1,6.5,56.0,77.1,39.9,163,0.58,2.8,11.6,1.12,4.6,56.7,0.45,2.2,9.1,0.95,3.9,51.3,66.7,60.3
10,Holger Rune,11,63.6,66.2,66.1,8.1,3.9,9.0,57.0,74.4,55.4,60.9,84.4,6.3,34.9,35.9,8.6,3.3,26.7,47.8,6.3,62.0,105.5,32.1,109,0.54,2.6,9.9,0.83,3.2,68.4,0.49,2.3,8.9,0.74,2.8,50.6,57.1,57.1
11,Daniil Medvedev,22,81.8,64.6,64.7,9.2,5.2,14.0,62.6,73.7,49.3,57.3,81.6,6.4,39.6,39.9,5.7,3.3,31.8,51.9,6.5,34.0,41.4,44.4,243,0.62,2.9,11.0,1.3,4.9,61.3,0.47,2.2,8.5,0.87,3.3,52.1,78.6,67.5
12,Tommy Paul,15,73.3,64.9,63.8,7.2,2.3,5.7,60.3,71.6,54.8,58.2,81.9,6.4,41.9,42.7,5.7,2.9,36.2,51.3,6.3,60.0,69.9,48.8,168,0.68,3.1,11.2,1.49,5.5,68.3,0.57,2.6,9.5,0.82,3.0,53.6,33.3,67.3
13,Ben Shelton,13,69.2,67.4,65.9,11.0,3.3,10.8,69.0,74.1,52.6,58.9,86.3,6.3,35.7,35.2,5.4,3.7,28.7,47.2,6.6,72.0,100.2,37.2,121,0.5,2.4,9.3,0.9,3.5,69.4,0.45,2.2,8.5,0.68,2.6,51.3,63.6,60.0
14,Arthur Fils,9,55.6,63.5,63.1,8.5,4.3,11.1,61.0,72.5,49.4,55.6,76.8,6.1,36.3,36.4,5.9,3.2,31.0,44.7,6.1,44.0,100.2,36.6,101,0.58,2.8,11.2,1.03,4.1,56.8,0.54,2.6,10.6,1.14,4.6,50.0,100.0,50.0
15,Grigor Dimitrov,17,76.5,68.9,69.3,9.4,4.8,11.9,59.8,81.3,50.3,57.1,86.2,6.0,38.2,39.4,8.8,3.7,30.4,50.7,6.6,56.0,57.9,38.9,167,0.61,2.9,9.8,1.12,3.8,65.2,0.4,1.9,6.6,0.67,2.3,53.0,72.7,70.7
16,Frances Tiafoe,13,69.2,65.6,65.0,7.8,3.2,7.9,59.2,72.9,55.0,59.7,83.8,6.5,36.4,38.2,11.9,4.4,28.5,49.1,6.4,40.0,56.3,36.5,148,0.57,2.7,11.4,1.0,4.2,60.7,0.41,2.0,8.2,0.78,3.2,51.1,40.0,59.3
17,Andrey Rublev,13,69.2,67.7,66.4,11.5,3.8,9.6,60.5,78.2,51.6,57.1,87.8,6.3,39.0,40.4,9.5,4.1,30.3,52.4,7.0,38.0,46.8,32.7,168,0.69,3.4,12.9,1.12,4.2,72.0,0.44,2.2,8.2,0.61,2.3,52.7,30.0,61.2
18,Francisco Cerundolo,9,55.6,62.7,63.3,5.1,4.0,10.6,62.4,68.9,52.3,58.4,78.6,6.4,39.0,39.6,6.0,2.9,32.4,49.3,6.4,58.0,89.1,43.5,108,0.61,2.9,12.0,1.27,5.2,61.5,0.55,2.6,10.7,1.0,4.1,50.8,66.7,56.8
19,Stefanos Tsitsipas,12,66.7,67.5,66.8,8.5,3.2,8.3,61.6,74.4,56.4,61.5,88.8,6.3,36.3,37.0,6.1,2.4,29.1,47.5,6.5,66.5,61.9,45.2,104,0.5,2.4,8.7,1.09,3.9,68.8,0.36,1.8,6.4,0.56,2.0,51.9,45.5,62.8
20,Tomas Machac,12,66.7,62.3,62.2,5.7,3.4,9.9,65.6,65.8,55.6,61.8,76.5,6.3,42.5,42.4,7.0,5.2,34.7,55.1,6.8,37.5,47.3,42.6,155,0.76,3.6,12.9,1.53,5.5,50.5,0.48,2.3,8.1,1.12,4.0,52.0,50.0,62.8
21,Jakub Mensik,6,50.0,61.4,60.7,11.0,5.9,13.7,57.0,75.1,43.3,50.2,77.0,7.1,34.9,35.3,12.5,6.1,22.4,53.1,6.1,28.5,65.3,41.0,61,0.48,2.3,10.2,0.96,4.2,67.8,0.71,3.5,15.0,1.12,4.8,49.0,71.4,57.7
